
6/10/2011 1:55:28 PM   Starting CoreControllUI:   Started
6/10/2011 1:55:28 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:55:29 PM   Starting VideoWallGallery:   Started
6/10/2011 1:55:57 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:55:58 PM   Starting PhotoBooth:   Started
6/10/2011 1:55:58 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:55:58 PM   Starting CoreControllUI:   Started
6/10/2011 1:55:59 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:55:59 PM   Starting VideoWallGallery:   Started
6/10/2011 1:56:22 PM   Saving List
6/10/2011 1:56:22 PM   ********* SESSION FINISHED *********
6/10/2011 1:56:42 PM   ********* SESSION STARTED *********
6/10/2011 1:56:42 PM   Loading saved list
6/10/2011 1:56:42 PM   Checking ofxPhotoBooth:   NOT running
6/10/2011 1:56:43 PM   Starting ofxPhotoBooth:   Started
6/10/2011 1:56:43 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:56:44 PM   Starting CoreControllUI:   Started
6/10/2011 1:56:44 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:56:44 PM   Starting VideoWallGallery:   Started
6/10/2011 1:57:05 PM   Checking ofxPhotoBooth:   NOT running
6/10/2011 1:57:06 PM   Starting ofxPhotoBooth:   Started
6/10/2011 1:57:56 PM   Checking ofxPhotoBooth:   NOT running
6/10/2011 1:57:57 PM   Starting ofxPhotoBooth:   Started
6/10/2011 1:58:35 PM   Checking F:\ARPhotoBooth\apps\ofxPhotoBooth\ofxPhotoBooth\bin\PhotoBooth.exe:   NOT running
6/10/2011 1:58:35 PM   Starting F:\ARPhotoBooth\apps\ofxPhotoBooth\ofxPhotoBooth\bin\PhotoBooth.exe:   Started
6/10/2011 1:58:40 PM   Checking F:\ARPhotoBooth\apps\ofxPhotoBooth\ofxPhotoBooth\bin\PhotoBooth.exe:   NOT running
6/10/2011 1:58:41 PM   Starting F:\ARPhotoBooth\apps\ofxPhotoBooth\ofxPhotoBooth\bin\PhotoBooth.exe:   Started
6/10/2011 2:01:09 PM   Checking PhotoBooth.exe:   NOT running
6/10/2011 2:01:09 PM   Starting PhotoBooth.exe:   Started
6/10/2011 2:01:17 PM   Checking PhotoBooth.exe:   NOT running
6/10/2011 2:01:18 PM   Starting PhotoBooth.exe:   Started
6/10/2011 2:02:30 PM   Checking PhotoBooth.exe:   NOT running
6/10/2011 2:02:30 PM   Starting PhotoBooth.exe:   Started
6/10/2011 2:02:49 PM   Checking CoreControllUI:   NOT running
6/10/2011 2:02:50 PM   Starting CoreControllUI:   Started
6/10/2011 2:03:01 PM   Checking CoreControllUI:   NOT running
6/10/2011 2:03:01 PM   Starting CoreControllUI:   Started
6/10/2011 2:08:25 PM   Saving List
6/10/2011 2:08:25 PM   ********* SESSION FINISHED *********
6/10/2011 4:07:01 PM   ********* SESSION STARTED *********
6/10/2011 4:07:01 PM   Loading saved list
6/10/2011 4:07:05 PM   Checking PhotoBooth.exe:   NOT running
6/10/2011 4:07:06 PM   Starting PhotoBooth.exe:   Started
6/10/2011 4:07:06 PM   Checking CoreControllUI:   NOT running
6/10/2011 4:07:06 PM   Starting CoreControllUI:   Started
6/10/2011 4:07:31 PM   Saving List
6/10/2011 4:07:31 PM   ********* SESSION FINISHED *********
6/10/2011 4:19:03 PM   ********* SESSION STARTED *********
6/10/2011 4:19:03 PM   Loading saved list
6/10/2011 4:19:05 PM   Checking PhotoBooth.exe:   NOT running
6/10/2011 4:19:06 PM   Starting PhotoBooth.exe:   Started
6/10/2011 4:19:08 PM   Checking CoreControllUI:   NOT running
6/10/2011 4:19:08 PM   Starting CoreControllUI:   Started
6/10/2011 4:24:42 PM   Checking PhotoBooth.exe:   NOT running
6/10/2011 4:24:42 PM   Starting PhotoBooth.exe:   Started
6/10/2011 4:24:45 PM   Checking CoreControllUI:   NOT running
6/10/2011 4:24:46 PM   Starting CoreControllUI:   Started
6/10/2011 4:26:16 PM   Checking PhotoBooth.exe:   NOT running
6/10/2011 4:26:16 PM   Starting PhotoBooth.exe:   Started
6/10/2011 4:26:17 PM   Checking CoreControllUI:   NOT running
6/10/2011 4:26:17 PM   Starting CoreControllUI:   Started
6/10/2011 4:27:59 PM   Checking CoreControllUI:   NOT running
6/10/2011 4:27:59 PM   Starting CoreControllUI:   Started
6/10/2011 4:43:11 PM   Saving List
6/10/2011 4:43:11 PM   ********* SESSION FINISHED *********
